pTrdSymbol;pSymbol;pSymbolName;pGroup;pExSeg;pInstType
CANFINHOME-EQ;583;CANFINHOME;EQ;;
889SCL26-NS;5855;889SCL26;NS;;
FOCE-SM;7385;FOCE;SM;;
COROMANDEL-EQ;739;COROMANDEL;EQ;;
NILASPACES-EQ;7411;NILASPACES;EQ;;
MANAKALUCO-BL;7426;MANAKALUCO;BL;;
NILASPACES-BL;7447;NILASPACES;BL;;
702UP31-SG;5335;702UP31;SG;;
683GS2039-GS;6935;683GS2039;GS;;
TARSONS-BL;6952;TARSONS;BL;;
83GS2040-GS;6981;83GS2040;GS;;
692AP41-SG;6992;692AP41;SG;;
692TN46-SG;6993;692TN46;SG;;
681HR39-SG;755854;681HR39;SG;;
683JK42-SG;755855;683JK42;SG;;
803ABCL33-NF;755954;803ABCL33;NF;;
831ABCL34-NK;755959;831ABCL34;NK;;
833ABCL27-NL;755960;833ABCL27;NL;;
852MFL28-N0;755984;852MFL28;N0;;
852MFL28A-N0;755986;852MFL28A;N0;;
690GS2065-GS;756014;690GS2065;GS;;
815ANN31-N0;756031;815ANN31;N0;;
WAAREERTL-BL;756040;WAAREERTL;BL;;
67RJ35-SG;756091;67RJ35;SG;;
667UP32-SG;756101;667UP32;SG;;
850TIAP28A-N0;756137;850TIAP28A;N0;;
9IIFL26-NV;756139;9IIFL26;NV;;
890ALSL27-N0;756161;890ALSL27;N0;;
715NBFID35-N0;756169;715NBFID35;N0;;
SHRIAHIMSA-SM;756406;SHRIAHIMSA;SM;;
726IRMT45-N0;756724;726IRMT45;N0;;
661PFCL28-N0;756767;661PFCL28;N0;;
709TS58-SG;756790;709TS58;SG;;
642JK31-SG;756807;642JK31;SG;;
685RJ47-SG;756816;685RJ47;SG;;
GROWWSLVR-BL;756829;GROWWSLVR;BL;;
677MP37-SG;756864;677MP37;SG;;
686NHPCL35-N0;756888;686NHPCL35;N0;;
MON50EQUAL-EQ;756900;MON50EQUAL;EQ;;
688ML35-SG;756907;688ML35;SG;;
727TCHFL28-N0;756994;727TCHFL28;N0;;
740SIHF28-N0;757029;740SIHF28;N0;;
671MN40-SG;757036;671MN40;SG;;
MOMGF-EQ;757099;MOMGF;EQ;;
708TML28-N0;757123;708TML28;N0;;
990CCSP27-N0;757129;990CCSP27;N0;;
738ABCL28-N0;757148;738ABCL28;N0;;
AEGISVOPAK-EQ;757336;AEGISVOPAK;EQ;;
699SFL27-N0;757341;699SFL27;N0;;
688MP41-SG;757389;688MP41;SG;;
692TN45-SG;757394;692TN45;SG;;
694KL62-SG;757397;694KL62;SG;;
364D040626-TB;757403;364D040626;TB;;
857CIFL32-N0;757404;857CIFL32;N0;;
72959ABC28-N0;757415;72959ABC28;N0;;
666TN35-SG;757430;666TN35;SG;;
708TS57-SG;757442;708TS57;SG;;
842SCL27-N3;757459;842SCL27;N3;;
SCL1825-N5;757461;SCL1825;N5;;
SCL01825-N6;757462;SCL01825;N6;;
960SCL32-NI;757474;960SCL32;NI;;
985SCL32-NJ;757475;985SCL32;NJ;;
NRVANDANA-SM;757489;NRVANDANA;SM;;
